url_aviso,barrio,precio_detalle,estado_scraping
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193308778,"Pinares, Risaralda",$ 550.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/193393029,"Tribunas corcega, Risaralda",$ 1.650.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/10200526,"Cambulos, Risaralda",$ 2.200.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192081866,"Cambulos, Risaralda",$ 490.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-belmonte-a-pereira/192594553,"Belmonte a, Risaralda",$ 390.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-tribunas-corcega-pereira/193904645,"Villa verde, Risaralda",$ 550.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193765046,"San jose sur, Risaralda",$ 850.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/192321767,"Condina, Risaralda",$ 1.200.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-villa-verde-pereira/193904178,"Villa verde, Risaralda",$ 490.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-gamma-pereira/192582772,"Gamma, Risaralda",$ 230.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193456629,"Pinares, Risaralda",$ 2.017.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193742555,"Pinares, Risaralda",$ 420.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193303711,"Pinares, Risaralda",$ 600.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193313803,"Cerritos, Risaralda",$ 770.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193309986,"Los alamos, Risaralda",$ 690.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/193585820,"Santander, Risaralda",$ 200.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192648047,"Ciudadela del cafe sector c, Risaralda",$ 220.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192262574,"San jose sur, Risaralda",$ 590.000.000,ok
https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/192024046,"Combia, Risaralda",$ 900.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-san-jose-pereira/193334591,"San jose, Risaralda",$ 3.100.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-barajas-pereira/194246207,"Barajas, Risaralda",$ 380.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192785504,"Cerritos, Risaralda",$ 340.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193571746,"Cerritos, Risaralda",$ 1.100.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-mirador-de-llano-grande-pereira/192427245,"Ciudadela del cafe sector c, Risaralda",$ 180.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-villa-del-prado-pereira/193662409,"Samaria i etapa, Risaralda",$ 350.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194230911,"Cerritos, Risaralda",$ 800.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-providencia-pereira/192672199,"Providencia, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193314242,"Cerritos, Risaralda",$ 1.800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193413473,"Pinares, Risaralda",$ 3.600.000.000,ok
https://www.fincaraiz.com.co/casa-en-venta-en-la-elvira-pereira/193546042,"Niza ii, Risaralda",$ 745.000.000,ok
https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/192262560,"Cerritos, Risaralda",$ 2.500.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193309038,"Cerritos, Risaralda",$ 500.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193734261,"Pinares, Risaralda",$ 800.000.000,ok
https://www.fincaraiz.com.co/apartamento-en-venta-en-maraya-pereira/192970194,"Sector 30 de agosto ii etapa, Risaralda",$ 364.000.000,ok
