precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso,pagina
$ 500.000.000,"Lote en Pereira, Risaralda","Lote en venta en pueblito cafetero, pereira",2000 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pueblito-cafetero-pereira/194191086,5
$ 700.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194017531,5
$ 1.380.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,4 Baños,168 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193173483,5
$ 800.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,4 Baños,123 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193578645,6
$ 240.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",3 Habs.,2 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193668855,6
$ 360.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,54 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194069308,6
$ 2.000.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",5 Habs.,4 Baños,390 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193989025,6
$ 880.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,132 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/194164392,6
$ 920.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",3 Habs.,2 Baños,135 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/194246501,6
$ 2.500.000.000,"Finca en Pereira, Risaralda","Finca en venta en condina, pereira",8 Habs.,5 Baños,1776 m²,https://www.fincaraiz.com.co/finca-en-venta-en-condina-pereira/194016225,6
$ 1.850.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,4 Baños,322 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/194020646,6
$ 900.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,4 Habs.,3 Baños,2824 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194194187,6
$ 340.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,2 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193458514,6
$ 2.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",6 Habs.,6 Baños,380 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193173480,6
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en pueblito cafetero, pereira",4 Habs.,3 Baños,290 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pueblito-cafetero-pereira/192595627,6
$ 290.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",2 Habs.,2 Baños,50 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194032164,6
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en avenida sur, pereira",2 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-sur-pereira/194040869,6
$ 220.000.000,"Casa en Pereira, Risaralda","Casa en venta en samaria i etapa, pereira",2 Habs.,1 Baño,50 m²,https://www.fincaraiz.com.co/casa-en-venta-en-samaria-i-etapa-pereira/193805993,6
Desde $ 241.000.000,"Apartamento en Pereira, Risaralda","Camelia, apartamento en venta en la julia, pereira",2 Habs.,1 Baño,53 m²,https://www.fincaraiz.com.co/proyectos-vivienda/camelia-apartamentos-en-venta-en-la-julia-pereira/15018199,6
$ 700.000.000,"Casa en Pereira, Risaralda",Casa en venta en santa rosa de cabal,5 Habs.,4 Baños,752 m²,https://www.fincaraiz.com.co/casa-en-venta-en-santa-rosa-de-cabal/193802313,6
$ 1.250.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",4 Habs.,4 Baños,170 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193934113,6
$ 1.250.000.000,"Finca en Pereira, Risaralda","Finca en venta en la florida, pereira",7 Habs.,5 Baños,38000 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-florida-pereira/194038383,6
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alpes, pereira",3 Habs.,4 Baños,129 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alpes-pereira/193273382,6
$ 450.000.000,"Casa en Pereira, Risaralda","Casa en venta en coralina, pereira",4 Habs.,3 Baños,96 m²,https://www.fincaraiz.com.co/casa-en-venta-en-coralina-pereira/192284682,6
$ 490.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193173505,7
$ 920.000.000,"Casa en Pereira, Risaralda","Casa en venta en san jose sur, pereira",3 Habs.,3 Baños,165 m²,https://www.fincaraiz.com.co/casa-en-venta-en-san-jose-sur-pereira/194163248,7
$ 315.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194140153,7
$ 2.500.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",4 Habs.,5 Baños,549 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/192521479,7
