precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 295.000.000,"Casa en Pereira, Risaralda","Casa en venta en samaria i etapa, pereira",3 Habs.,2 Baños,156 m²,https://www.fincaraiz.com.co/casa-en-venta-en-samaria-i-etapa-pereira/194055817
$ 499.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",1958 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193313925
$ 950.000.000,"Casa en Pereira, Risaralda","Casa en venta en la florida, pereira",13 Habs.,4 Baños,424 m²,https://www.fincaraiz.com.co/casa-en-venta-en-la-florida-pereira/193301993
$ 2.240.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",4 Habs.,4 Baños,224 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193560856
$ 1.050.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,131 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192872019
$ 60.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en primero de febrero, pereira",6 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-primero-de-febrero-pereira/193369424
$ 360.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,4 Habs.,3 Baños,104 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193829509
$ 670.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,134 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192320941
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",5 Habs.,4 Baños,197 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193616355
$ 770.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192864371
$ 780.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",11025 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/8287301
$ 1.623.135.800,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",1 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/193302281
$ 450.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",2 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/194068490
$ 550.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en circunvalar - alamos, pereira",84 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-circunvalar-alamos-pereira/193303050
$ 700.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,160 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/192646164
$ 1.096.750.000,"Local Comercial en Pereira, Risaralda","Local en venta en cerritos, pereira",53 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-cerritos-pereira/192405027
$ 1.550.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",4 Habs.,6 Baños,500 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/192866801
$ 280.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,50 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/194013595
$ 850.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",2 Habs.,3 Baños,130 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/192086065
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,3 Baños,130 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192320158
$ 380.000.000,"Casa en Pereira, Risaralda","Casa en venta en cuba, pereira",6 Habs.,3 Baños,187 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cuba-pereira/193508844
$ 540.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",3 Habs.,2 Baños,89 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193972609
$ 370.000.000,"Casa en Pereira, Risaralda","Casa en venta en primero de mayo, pereira",4 Habs.,1 Baño,90 m²,https://www.fincaraiz.com.co/casa-en-venta-en-primero-de-mayo-pereira/193638200
$ 265.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193313883
$ 470.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,81 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/192850887
$ 1.100.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,3 Baños,250 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193840493
$ 420.000.000,"Casa en Pereira, Risaralda","Casa en venta en belmonte a, pereira",3 Habs.,2 Baños,160 m²,https://www.fincaraiz.com.co/casa-en-venta-en-belmonte-a-pereira/192758988
$ 550.000.000,"Lote en Pereira, Risaralda","Lote en  venta en tribunas corcega, pereira",1585 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-tribunas-corcega-pereira/191833600
$ 2.400.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",4 Habs.,5 Baños,240 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192321215
$ 520.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",3 Habs.,2 Baños,78 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193019691
$ 700.000.000,"Casa en Pereira, Risaralda","Casa en venta en bello horizonte, pereira",6 Habs.,4 Baños,190 m²,https://www.fincaraiz.com.co/casa-en-venta-en-bello-horizonte-pereira/193310052
$ 300.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,1 Baño,87 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193363560
$ 7.500.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en sector plaza de bolivar, pereira",3 Ambientes,3 Baños,352 m²,https://www.fincaraiz.com.co/local-en-venta-en-sector-plaza-de-bolivar-pereira/194054539
$ 850.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en san jose sur, pereira",4 Habs.,3 Baños,2700 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-san-jose-sur-pereira/193506688
$ 3.800.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,5 Habs.,3 Baños,440 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193303008
$ 1.600.000.000,"Casa en Pereira, Risaralda","Casa en venta en la florida, pereira",5 Habs.,3 Baños,400 m²,https://www.fincaraiz.com.co/casa-en-venta-en-la-florida-pereira/192321352
$ 235.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en villa verde, pereira",2 Habs.,1 Baño,49 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-villa-verde-pereira/192602239
$ 1.500.000.000,"Apartaestudio en Pereira, Risaralda","Apartaestudio en venta en centro, pereira",0 Hab,10 Baños,180 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-centro-pereira/192322121
$ 600.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,10036 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/10307896
$ 325.000.000,"Apartaestudio en Pereira, Risaralda","Apartaestudio en venta en pinares, pereira",1 Hab,1 Baño,49 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-pinares-pereira/192832048
$ 1.100.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",4 Habs.,5 Baños,164 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192321805
$ 1.690.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",4 Habs.,4 Baños,377 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/10465235
$ 250.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,2 Habs.,1 Baño,50 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193270274
$ 470.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el dorado, pereira",3 Habs.,2 Baños,86 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-dorado-pereira/194071798
$ 1.850.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,4 Habs.,6 Baños,313 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/10317823
$ 450.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alpes, pereira",2 Habs.,2 Baños,70 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alpes-pereira/193363546
$ 750.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,5 Habs.,4 Baños,190 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193841522
$ 2.003.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,4 Baños,172 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193456653
$ 185.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en mirador de llano grande, pereira",3 Habs.,2 Baños,45 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-mirador-de-llano-grande-pereira/192321791
$ 250.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",3 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/7256200
$ 2.850.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",5 Habs.,5 Baños,4260 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193433105
$ 420.000.000,"Casa en Pereira, Risaralda","Casa en venta en sector belmonte, pereira",3 Habs.,3 Baños,128 m²,https://www.fincaraiz.com.co/casa-en-venta-en-sector-belmonte-pereira/192695332
$ 70.000.000,"Lote en Pereira, Risaralda","Lote en venta en altagracia, pereira",50 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-altagracia-pereira/193308788
$ 960.000.000,"Casa en Pereira, Risaralda","Casa en  venta en maraya, pereira",3 Habs.,2 Baños,288 m²,https://www.fincaraiz.com.co/casa-en-venta-en-maraya-pereira/191516285
$ 165.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,44 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193310161
$ 520.000.000,"Casa en Pereira, Risaralda","Casa en venta en condina, pereira",3 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/casa-en-venta-en-condina-pereira/193888137
$ 360.000.000,"Oficina en Pereira, Risaralda","Oficina en venta en los alamos, pereira",1 Baño,36 m²,,https://www.fincaraiz.com.co/oficina-en-venta-en-los-alamos-pereira/193308321
$ 320.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centenario, pereira",3 Habs.,2 Baños,84 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centenario-pereira/192755115
$ 430.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en aeropuerto, pereira",2 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-aeropuerto-pereira/193209543
$ 409.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,1 Hab,2 Baños,49 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192923452
$ 590.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193285226
$ 1.500.000.000,"Casa en Pereira, Risaralda","Casa en venta en combia, pereira",3 Habs.,4 Baños,4995 m²,https://www.fincaraiz.com.co/casa-en-venta-en-combia-pereira/192551133
$ 2.600.000.000,"Finca en Pereira, Risaralda","Finca en venta en la bella, pereira",5 Habs.,4 Baños,8050 m²,https://www.fincaraiz.com.co/finca-en-venta-en-la-bella-pereira/193367335
$ 1.000.000.000,"Finca en Pereira, Risaralda","Finca en venta en combia, pereira",6 Habs.,5 Baños,340 m²,https://www.fincaraiz.com.co/finca-en-venta-en-combia-pereira/193303570
$ 3.000.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",4 Habs.,4 Baños,450 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194165344
$ 1.800.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,4 Baños,315 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193657243
$ 1.850.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,5 Habs.,6 Baños,320 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193394700
$ 580.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,110 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193311053
$ 650.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en los sauces, pereira",2 Habs.,2 Baños,120 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-los-sauces-pereira/192967170
$ 1.600.000.000,"Edificio en Pereira, Risaralda","Edificio en venta en centro, pereira",0 Hab,6 Baños,421 m²,https://www.fincaraiz.com.co/edificio-en-venta-en-centro-pereira/193032926
$ 450.000.000,"Casa en Pereira, Risaralda","Casa en venta en centro, pereira",8 Habs.,3 Baños,174 m²,https://www.fincaraiz.com.co/casa-en-venta-en-centro-pereira/192320225
$ 450.000.000,"Casa en Pereira, Risaralda","Casa en venta en belmonte a, pereira",4 Habs.,3 Baños,80 m²,https://www.fincaraiz.com.co/casa-en-venta-en-belmonte-a-pereira/192929246
$ 2.200.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,5 Habs.,6 Baños,480 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/194219305
$ 700.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,3 Baños,102 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193973129
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en condina, pereira",7 Habs.,3 Baños,400 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/193310586
$ 2.500.000.000,"Finca en Pereira, Risaralda","Finca en venta en tribunas corcega, pereira",5 Habs.,4 Baños,244000 m²,https://www.fincaraiz.com.co/finca-en-venta-en-tribunas-corcega-pereira/192724495
$ 1.350.000.000,"Casa en Pereira, Risaralda","Casa en venta en combia, pereira",3 Habs.,3 Baños,240 m²,https://www.fincaraiz.com.co/casa-en-venta-en-combia-pereira/192902018
$ 650.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en la julita, pereira",2 Habs.,2 Baños,78 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-la-julita-pereira/194100494
$ 165.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,1500 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/193308897
$ 970.000.000,"Casa en Pereira, Risaralda","Casa en venta en pinares, pereira",3 Habs.,4 Baños,233 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/192749525
$ 660.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",2 Habs.,2 Baños,61 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/192115885
$ 235.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el poblado, pereira",2 Habs.,1 Baño,48 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-pereira/193049978
$ 300.000.000,"Casa en Pereira, Risaralda","Casa en venta en la acuarela, pereira",3 Habs.,1 Baño,120 m²,https://www.fincaraiz.com.co/casa-en-venta-en-la-acuarela-pereira/192830865
$ 580.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193364203
$ 8.750.000.000,"Edificio en Pereira, Risaralda","Edificio en venta en sector plaza de bolivar, pereira",0 Hab,492 m²,,https://www.fincaraiz.com.co/edificio-en-venta-en-sector-plaza-de-bolivar-pereira/192971384
$ 450.000.000,"Casa en Pereira, Risaralda","Casa en venta en el paraiso, pereira",5 Habs.,3 Baños,198 m²,https://www.fincaraiz.com.co/casa-en-venta-en-el-paraiso-pereira/193313427
$ 510.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,2 Baños,118 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/192321226
$ 550.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centro, pereira",3 Habs.,2 Baños,106 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centro-pereira/193744472
$ 620.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,130 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193311285
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",2 Habs.,2 Baños,80 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193303788
$ 420.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en galicia, pereira",3 Habs.,2 Baños,71 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-galicia-pereira/193930700
$ 520.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",2 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193582080
$ 250.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193303939
$ 1.100.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,2 Baños,206 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193998886
$ 700.000.000,"Casa en Pereira, Risaralda","Casa en venta en galicia, pereira",3 Habs.,3 Baños,185 m²,https://www.fincaraiz.com.co/casa-en-venta-en-galicia-pereira/193319070
$ 690.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193300575
$ 280.000.000,"Casa en Pereira, Risaralda","Casa en venta en cuba, pereira",3 Habs.,1 Baño,90 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cuba-pereira/193942769
$ 3.490.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,6 Baños,650 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/193721816
$ 900.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alpes, pereira",4 Habs.,4 Baños,178 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alpes-pereira/192320594
$ 425.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en avenida 30 de agosto, pereira",2 Habs.,2 Baños,60 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-30-de-agosto-pereira/193313564
$ 285.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en gamma, pereira",3 Habs.,2 Baños,69 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-gamma-pereira/194032059
$ 150.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,1 Baño,45 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193354838
$ 550.000.000,"Consultorio en Pereira, Risaralda","Consultorio en venta en avenida 30 de agosto, pereira",1 Ambiente,1 Baño,44 m²,https://www.fincaraiz.com.co/consultorio-en-venta-en-avenida-30-de-agosto-pereira/193313248
$ 650.000.000,"Lote en Pereira, Risaralda","Lote en venta en condina, pereira",2497 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/192715239
$ 170.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en mirador de llano grande, pereira",3 Habs.,1 Baño,49 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-mirador-de-llano-grande-pereira/192321198
$ 520.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,2 Habs.,2 Baños,64 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192321500
$ 830.000.000,"Lote en Pereira, Risaralda","Lote en venta en cerritos, pereira",1 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-cerritos-pereira/192296730
$ 850.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,7 Habs.,6 Baños,290 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193304378
$ 160.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los paraisos, pereira",2 Habs.,1 Baño,72 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-paraisos-pereira/192649785
$ 200.000.000,"Lote en Pereira, Risaralda",Lote en venta en pereira,2000 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-pereira/192322104
$ 365.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,2 Habs.,2 Baños,67 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/194155744
$ 250.000.000,"Casa en Pereira, Risaralda","Casa en venta en alfonso lopez, pereira",3 Habs.,2 Baños,85 m²,https://www.fincaraiz.com.co/casa-en-venta-en-alfonso-lopez-pereira/192320580
$ 280.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,57 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193433418
$ 750.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alpes, pereira",3 Habs.,4 Baños,129 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alpes-pereira/193939528
$ 440.000.000,"Consultorio en Pereira, Risaralda","Consultorio en venta en palmas de belmonte, pereira",1 Baño,40 m²,,https://www.fincaraiz.com.co/consultorio-en-venta-en-palmas-de-belmonte-pereira/193415829
$ 340.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,58 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193668280
$ 390.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alpes, pereira",2 Habs.,2 Baños,69 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alpes-pereira/193074390
$ 280.000.000,"Casa en Pereira, Risaralda","Casa en venta en cuba, pereira",3 Habs.,2 Baños,64 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cuba-pereira/193810776
$ 1.050.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",4 Habs.,3 Baños,240 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/7665822
$ 3.300.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",4 Habs.,5 Baños,2071 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/193447478
$ 524.000.000,"Casa en Pereira, Risaralda","Casa en venta en maraya, pereira",4 Habs.,3 Baños,131 m²,https://www.fincaraiz.com.co/casa-en-venta-en-maraya-pereira/193368115
$ 790.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,4 Habs.,4 Baños,133 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193616886
$ 2.100.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",2 Habs.,5 Baños,318 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193304501
$ 535.000.000,"Casa en Pereira, Risaralda","Casa en venta en los corales, pereira",5 Habs.,3 Baños,185 m²,https://www.fincaraiz.com.co/casa-en-venta-en-los-corales-pereira/193313069
$ 27.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en centro, pereira",1 Ambiente,4 m²,,https://www.fincaraiz.com.co/local-en-venta-en-centro-pereira/193946242
$ 530.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",2 Habs.,2 Baños,82 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193150979
$ 1.750.000.000,"Casa en Pereira, Risaralda","Casa en venta en cerritos, pereira",3 Habs.,3 Baños,415 m²,https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/193452050
$ 400.000.000,"Casa en Pereira, Risaralda","Casa en venta en el jardin, pereira",3 Habs.,2 Baños,180 m²,https://www.fincaraiz.com.co/casa-en-venta-en-el-jardin-pereira/192320401
$ 470.000.000,"Casa en Pereira, Risaralda","Casa en venta en sector belmonte, pereira",3 Habs.,3 Baños,107 m²,https://www.fincaraiz.com.co/casa-en-venta-en-sector-belmonte-pereira/193872385
$ 980.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en cerritos, pereira",3 Habs.,2 Baños,130 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/193398679
$ 590.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",2 Habs.,2 Baños,140 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/192544704
$ 4.950.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",3 Habs.,6 Baños,1350 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/8258929
$ 3.200.000.000,"Casa en Pereira, Quindio",Casa en venta en pereira,6 Habs.,5 Baños,300 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193308922
$ 460.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,3 Baños,127 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193657693
$ 220.000.000,"Lote en Pereira, Risaralda","Lote en venta en morelia, pereira",2000 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-morelia-pereira/194226195
$ 670.000.000,"Casa Campestre en Pereira, Risaralda",Casa campestre en venta en pereira,3 Habs.,3 Baños,120 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/192479717
$ 520.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en los alamos, pereira",2 Habs.,2 Baños,100 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-los-alamos-pereira/193236438
$ 900.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",3 Habs.,3 Baños,125 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192864874
$ 500.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en centro, pereira",3 Habs.,2 Baños,161 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-centro-pereira/194020991
$ 167.000.000,"Casa en Pereira, Risaralda","Casa en venta en villa santana, pereira",2 Habs.,1 Baño,50 m²,https://www.fincaraiz.com.co/casa-en-venta-en-villa-santana-pereira/193458915
