precio_texto,tipo_y_ciudad,titulo,habitaciones_texto,banos_texto,area_texto,url_aviso
$ 600.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,6 Habs.,4 Baños,140 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193127062
$ 320.000.000,"Oficina en Pereira, Risaralda","Oficina en  venta en los alpes, pereira",1 Baño,35 m²,,https://www.fincaraiz.com.co/oficina-en-venta-en-los-alpes-pereira/192169105
$ 625.000.000,"Apartaestudio en Pereira, Risaralda","Apartaestudio en venta en cerritos, pereira",1 Hab,2 Baños,66 m²,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cerritos-pereira/193399381
$ 1.100.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en combia, pereira",3 Habs.,3 Baños,400 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/193239447
$ 160.000.000,"Apartamento en Pereira, Risaralda",Apartamento en venta en pereira,3 Habs.,1 Baño,45 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/193312988
$ 390.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en pinares, pereira",2 Habs.,1 Baño,67 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/193065123
$ 395.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en el jardin, pereira",2 Habs.,2 Baños,69 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-el-jardin-pereira/192752738
$ 1.800.000.000,"Casa en Pereira, Risaralda","Casa en venta en maraya, pereira",4 Habs.,5 Baños,260 m²,https://www.fincaraiz.com.co/casa-en-venta-en-maraya-pereira/8215281
$ 370.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en avenida 30 de agosto, pereira",2 Habs.,2 Baños,68 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-avenida-30-de-agosto-pereira/193567711
$ 450.000.000,"Lote en Pereira, Risaralda","Lote en  venta en condina, pereira",2000 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/191467093
$ 450.000.000,"Casa en Pereira, Risaralda","Casa en venta en corocito, pereira",4 Habs.,3 Baños,160 m²,https://www.fincaraiz.com.co/casa-en-venta-en-corocito-pereira/192320917
$ 280.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,3 Baños,52 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193035142
$ 1.000.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en circunvalar - alamos, pereira",103 m²,,,https://www.fincaraiz.com.co/local-en-venta-en-circunvalar-alamos-pereira/193310976
$ 315.000.000,"Lote en Pereira, Risaralda","Lote en venta en condina, pereira",1500 m²,,,https://www.fincaraiz.com.co/lote-en-venta-en-condina-pereira/192884366
$ 600.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en popular modelo, pereira",4 Habs.,4 Baños,96 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-popular-modelo-pereira/193352868
$ 350.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",2 Habs.,2 Baños,65 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/193645838
$ 430.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en bosques de santa elena, pereira",2 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-bosques-de-santa-elena-pereira/8031613
$ 1.650.000.000,"Casa en Pereira, Risaralda","Casa lote en venta en condina, pereira",4 Habs.,6 Baños,380 m²,https://www.fincaraiz.com.co/casa-lote-en-venta-en-condina-pereira/10680535
$ 310.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en condina, pereira",3 Habs.,2 Baños,62 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-condina-pereira/7665857
$ 630.000.000,"Apartamento en Pereira, Risaralda","Apartamento en  venta en cerritos, pereira",2 Habs.,2 Baños,98 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-cerritos-pereira/191847362
$ 1.440.000.000,"Bodega en Pereira, Risaralda",Bodega en venta en dosquebradas,1 Ambiente,740 m²,,https://www.fincaraiz.com.co/bodega-en-venta-en-dosquebradas/7177322
$ 700.000.000,"Casa en Pereira, Risaralda",Casa en venta en pereira,3 Habs.,3 Baños,146 m²,https://www.fincaraiz.com.co/casa-en-venta-en-pereira/193308051
$ 1.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en tribunas corcega, pereira",4 Habs.,3 Baños,3068 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/193212486
$ 1.500.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en morelia, pereira",6 Habs.,4 Baños,3200 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-morelia-pereira/192477322
$ 2.500.000.000,"Local Comercial en Pereira, Risaralda","Local en venta en centro, pereira",3 Baños,260 m²,,https://www.fincaraiz.com.co/local-en-venta-en-centro-pereira/193841842
$ 2.600.000.000,"Casa Campestre en Pereira, Risaralda","Casa campestre en venta en cerritos, pereira",4 Habs.,6 Baños,3000 m²,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/10626546
$ 500.000.000,"Apartamento en Pereira, Risaralda","Apartamento en venta en circunvalar - alamos, pereira",4 Habs.,3 Baños,132 m²,https://www.fincaraiz.com.co/apartamento-en-venta-en-circunvalar-alamos-pereira/193675935
